Dataset,Method,Seed,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2,Spearman
PHM2010,B5_MultiSource_Attention,3,0.6414473684210525,0.6282280529847326,0.709679313047066,0.4914801562970264,0.6835246896101054,0.5401635401635402,0.5254890196750662,0.14140779257058209,0.333103187754348,37.666666666666664,16.0,0.5073240300019582,,,,
PHM2010,B5_MultiSource_Attention,13,0.5953947368421053,0.571905908006631,0.5771407561712748,0.4737080797231173,0.664868888125501,0.44923371647509586,0.5217543124519869,0.08101600543460943,0.39722968211340004,35.0,21.333333333333332,0.4815872609615326,,,,
PHM2010,B5_MultiSource_Attention,23,0.5241228070175438,0.5060336320093859,0.5027636761658482,0.49478482986547506,0.5205523899968344,0.6294584500466853,0.4650956453282034,0.08017795808493418,0.45472639658685804,55.0,24.666666666666668,0.5763219396273295,,,,
PHM2010,B5_MultiSource_Attention,33,0.5800438596491228,0.5582097570377385,0.5687067957895827,0.4738407440270794,0.6320817312965534,0.4878715180594429,0.5362915769892513,0.05986642033153607,0.40384200267920883,39.333333333333336,28.0,0.5119207501411438,,,,
PHM2010,B5_MultiSource_Attention,43,0.5328947368421052,0.5072185940110904,0.5405848380087256,0.44370022119856034,0.537370722825985,0.5730894015861572,0.4210092756604384,0.11633462214857467,0.4626561021909823,44.333333333333336,23.333333333333332,0.540444552898407,,,,
PHM2010,B5_MultiSource_Attention,53,0.6743421052631579,0.6649452571862602,0.7536165567818713,0.5198011039956328,0.7214181107812762,0.5813298333052503,0.5603489324419556,0.09451682126100647,0.3451342462970343,32.333333333333336,14.0,0.3971550265947978,,,,
PHM2010,B5_MultiSource_Attention,63,0.6469298245614036,0.6331736065511461,0.7232211818354431,0.48448154315261877,0.6918180946653768,0.5805558466967123,0.5434372004139446,0.08392060136246116,0.3726421982235906,29.0,11.333333333333334,0.3992254038651784,,,,
PHM2010,B5_MultiSource_Attention,73,0.6754385964912281,0.6625510141901162,0.7579341223295427,0.5118162778098616,0.7179026424309444,0.6444613166012473,0.5233431105524128,0.18618777339707426,0.290469116050509,33.666666666666664,14.333333333333334,0.4708292484283447,,,,
PHM2010,B5_MultiSource_Attention,83,0.569078947368421,0.5412466765236981,0.529192546583851,0.4548687309443726,0.6396787520428705,0.47258454106280195,0.5101724345910392,0.03876762597692797,0.45105993943202893,35.0,11.666666666666666,0.4463060200214386,,,,
PHM2010,B5_MultiSource_Attention,93,0.575657894736842,0.5470134710289056,0.6017139905167801,0.4768739286270843,0.5624524939428526,0.5011491776197659,0.5212765619742363,0.0437594042245201,0.4349640338012397,40.0,22.333333333333332,0.4981615940729777,,,,
